house_room,house,house_area,total_price,unit_price
4室2厅,托乐嘉友邻居 ,142.35,370.0,25993.0
2室2厅,金马郦城西区 ,53.48,226.0,42259.0
3室2厅,富丽山庄 ,93.52,320.0,34218.0
3室1厅,彩虹苑 ,90.19,290.0,32155.0
2室2厅,天润城第十四街区 ,68.14,172.0,25243.0
2室2厅,蓝岸尚城 ,50.2,175.0,34861.0
2室2厅,工行新寓 ,61.65,173.0,28062.0
2室1厅,王府园小区 ,62.47,215.0,34417.0
2室2厅,天华绿谷庄园 ,88.04,176.0,19991.0
2室2厅,天润城第十一街区 ,68.22,172.0,25213.0
2室2厅,江岸水城 ,73.01,163.0,22326.0
2室2厅,银城东苑东篱苑 ,102.3,420.0,41056.0
3室1厅,白下路 ,68.04,203.0,29836.0
5室2厅,香山美墅 ,203.39,520.0,25567.0
2室2厅,江南名府 ,97.11,335.0,34497.0
2室2厅,天地新城天心座 ,92.33,225.0,24370.0
2室2厅,营苑新寓 ,68.29,158.0,23137.0
2室1厅,富康新村 ,50.66,130.0,25662.0
2室1厅,交通一村 ,58.52,160.0,27342.0
3室1厅,王府园小区 ,71.21,252.0,35389.0
2室2厅,托乐嘉睦邻居 ,89.19,262.0,29376.0
3室2厅,高尔夫国际花园 ,114.45,305.0,26650.0
3室2厅,文荟福邸 ,93.96,166.0,17668.0
3室1厅,凤虹苑 ,62.75,155.0,24702.0
3室2厅,仁恒翠竹园 ,107.65,430.0,39945.0
2室1厅,樱驼花园跃新园 ,57.43,155.0,26990.0
2室1厅,三条巷 ,55.04,185.0,33612.0
2室1厅,虹苑新寓五村 ,53.13,148.0,27857.0
3室2厅,翠屏湾花园城 ,136.92,260.0,18990.0
2室1厅,金陵新八村 ,64.1,145.0,22621.0
3室1厅,高尔夫国际花园 ,139.64,390.0,27929.0
2室2厅,白鹭花园凤栖苑 ,79.51,232.0,29179.0
2室2厅,欧洲城凯旋丽都花园 ,95.08,398.0,41860.0
2室1厅,钓鱼巷小区 ,55.87,152.0,27207.0
2室1厅,莺虹苑 ,61.26,168.0,27425.0
3室2厅,东城雅筑 ,120.88,410.0,33918.0
